id;legal_name_sr;legal_name_en;short_name;web_address;pib;registration_number;keywords;address;postal_code;city;country;legal_name_sr_cyr
1;Algerian Dinar Tuna;Soap;District initiative;calculating Associate Rand;Maryland;Fish Glo;Music pink action-items;Principal;Ball Solutions;North Huntermouth;Guatemala;Row green
2;deposit;Shoal;Home SAS Designer;navigating;ADP arch;Incredib;invoice Pike Borders;Investor Rubber generate;Ergonomic Fantastic Cotton Gloves;New Sheila;Armenia;Dynamic front-end
3;Tuna;Designer;Tunisian Dinar;Lead;Intellig;input An;firewall Frozen Rustic Granite Cheese;intermediate;Forward Investor;Port Adrien;Bulgaria;multi-state Djibouti Associate
4;deposit systems;redundant innovate;value-added;Guinea Franc embrace;bus Tool;Georgia ;Licensed;primary transparent Concrete;content Crescent Generic;New Maximillianfurt;Virgin Islands, U.S.;Costa Rican Colon Multi-tiered firewall
5;Light Credit Card Account;Program Buckinghamshire Soft;Cotton Investment Account;Taka;Security;Checking;Berkshire Ball Mouse;Communications Intelligent sky blue;impactful;Ryderhaven;Cape Verde;Licensed
6;B2B;Auto Loan Account generate;Reduced Visionary;technologies;TunaXXXX;Cotton M;RSS cyan;asymmetric;Fall Automated Reverse-engineered;Jenniferland;Iran;architectures Beauty
7;optimizing;vortals;empower;Home Loan Account calculate;RAM Wash;Lead;New Hampshire Azerbaijan Orchestrator;utilize compressing Awesome Frozen Shoes;interfaces orchestrate;Rozellashire;Sao Tome and Principe;initiatives
8;haptic;Integrated;innovative De-engineered;bandwidth;Savings ;Dale tan;Markets Cheese;Wall yellow;Music;Waelchishire;Solomon Islands;Liechtenstein Facilitator Licensed
9;navigating Brand;Money Market Account Orchestrator array;payment mesh;South Carolina program;experien;deposit ;invoice Macao invoice;web-enabled Usability digital;Virtual Ferry Chair;Lake Raheemfurt;Myanmar;asynchronous disintermediate haptic
10;Developer;Fundamental utilize adapter;Avon;solutions Forward;friction;auxiliar;Frozen e-services;COM deposit Intelligent;deposit copying;Elizabethfurt;Virgin Islands, U.S.;Avon
