id;status;meaning;status_en;status_cyr;meaning_en;meaning_cyr
1;Home Loan Account Plastic Cotton;back-end;system Industrial Turks and Caicos Islands;Corporate best-of-breed;Locks Money Market Account grey;customer loyalty PCI
2;B2B Estonia;Namibia;HDD;Junctions;Borders Metal Borders;collaborative Awesome bluetooth
3;Tools Sierra Leone;Human Slovenia;New Jersey gold Officer;Intelligent synthesize;Cambridgeshire cohesive ROI;Trinidad and Tobago Dollar cyan hack
4;Jewelery Graphic Interface pixel;open-source infomediaries;Rustic;ROI Intelligent Rubber Salad black;dot-com Mission;networks
5;schemas;synthesize Portugal;copying;Virginia Money Market Account empowering;Armenia B2B Optional;strategize Executive
6;Creative;Connecticut Factors;function;withdrawal Ergonomic Fresh Fish Bike;Meadows;clicks-and-mortar plum circuit
7;Group circuit capacity;Assistant payment;JSON HDD quantifying;firewall Electronics;Practical;24/7 markets
8;clicks-and-mortar Data Route;help-desk Locks;Grocery haptic envisioneer;coherent recontextualize Computer;Generic Granite Salad;Identity Savings Account
9;Avon Bedfordshire;Sri Lanka Rupee New Mexico Baby;coherent Mauritania Gorgeous;Flat;Licensed Russian Ruble Auto Loan Account;Intelligent connect Executive
10;TCP Beauty IB;Vision-oriented Shirt bus;silver;index Savings Account;Divide Wisconsin;panel SMS Congo
