id;name;description_sr;decsription_en;logo;description_sr_cyr
1;Fantastic deposit;Home Loan Account neural;hybrid redundant Myanmar;real-time Rubber;payment
2;protocol Engineer enable;Ergonomic convergence Indian Rupee;Practical Investor;Wyoming Secured alliance;Paradigm Devolved
3;Applications fault-tolerant Director;USB;programming Games Circle;Bacon Avon;Cambridgeshire Music
4;multi-byte synthesize;bypassing Philippines 3rd generation;Uganda Shilling coherent dedicated;Fiji California;Executive indexing microchip
5;primary Frozen;Legacy discrete;Louisiana;hacking;alarm TCP blue
6;Nauru scalable;synergistic;National;seize Arizona;Cross-group Incredible
7;asymmetric bypass Euro;violet;array fuchsia Customer-focused;Savings Account;Fork override
8;Barbados;withdrawal Assistant;moratorium;program Ergonomic eyeballs;Technician calculating
9;mint green Ergonomic;Bacon Borders Money Market Account;whiteboard Gorgeous;Sports mobile facilitate;Qatari Rial
10;Specialist invoice Strategist;silver Swaziland;Accounts compress;Designer payment budgetary management;Walks Indonesia
