id;value;description;description_en;description_cyr
1;static plug-and-play GB;Forest;Concrete SDD Executive;Intelligent Outdoors Fantastic Rubber Pants
2;asymmetric;Mountain system Intelligent;Paradigm Towels;CFA Franc BCEAO
3;Home Dynamic innovate;back up cutting-edge collaborative;haptic;plum Liaison
4;National;engage;redundant Optional;overriding
5;Licensed Central;TCP;Branding Mission infomediaries;Kids 1080p
6;Assistant Assimilated efficient;Ball Minnesota;New Hampshire;Extensions Arkansas Jewelery
7;haptic;Chicken transmitter next generation;HDD Minnesota;Licensed Wooden Sausages connect Palestinian Territory
8;Producer;ADP compress Idaho;Nebraska;copying Unbranded Wooden Chips niches
9;Quality-focused;quantifying;Generic Steel Keyboard;Administrator
10;Wallis and Futuna;Car;multi-byte;Handmade Concrete Pants
