id;name_sr;name_en;description_sr;description_en;keywords;accreditation_organization_name;terms_of_use_sr;terms_of_use_en;privacy_policy_sr;privacy_policy_en;access_policy_sr;access_policy_en;pricing_policy_sr;pricing_policy_en;name_sr_cyr;terms_of_use_sr_cyr;access_policy_sr_cyr;pricing_policy_sr_cyr;description_sr_cyr
1;Shirt Plastic International;Music;firewall tan;generating;UIC-Franc ROI system;analyzing payment;Maldives;Intranet iterate Small;payment Savings Account Games;client-server Facilitator;program;Dominican Peso;Cape Verde 24/7 port;Avon;generate;Intranet circuit blue;Handcrafted Plastic Mouse invoice Trinidad and Tobago Dollar;global port Cheese;Designer Small Steel Tuna
2;synthesizing;CFA Franc BCEAO;Orchestrator Versatile Right-sized;Fantastic cross-platform;SMTP;interface Directives;Accounts Planner interactive;Towels;open-source Licensed Soft Gloves Configuration;Salad;Tuna;Planner Ergonomic Wooden Pizza Designer;Checking Account aggregate;Fantastic Granite Hat Money Market Account Implementation;purple;Nevada;Fantastic Concrete Hat Pizza;Berkshire maroon;Up-sized
3;Armenian Dram;COM;Forest transmit salmon;backing up solution intranet;Pre-emptive;interactive Cotton;Licensed Rubber Salad composite;Bacon Direct Isle of Man;Principal;Cambridgeshire disintermediate;Chief Cambridgeshire;Home Loan Account proactive Montana;cross-platform FTP West Virginia;withdrawal;cross-platform;Bedfordshire Bike Qatar;Generic Rubber Sausages;Niue;Incredible Fundamental
4;Kazakhstan;Auto Loan Account North Carolina;Handmade Fresh Gloves;bus;system stable Mouse;SMS;Web JBOD groupware;Antarctica (the territory South of 60 deg S);gold;Licensed Plastic Tuna;matrices;parsing Bond Markets Units European Composite Unit (EURCO) Supervisor;Awesome Granite Chair Virgin Islands, British;pixel Grocery Manager;Concrete;connect Interactions payment;Phased;mobile calculate Shoals;hard drive capacity
5;Auto Loan Account Investment Account ROI;Clothing Polarised cross-platform;Outdoors Massachusetts;Road;Interactions;driver Cambridgeshire;PCI Course Forward;Sausages;focus group Montenegro;bluetooth;Chief Mauritius Rupee;multi-tasking;Kiribati Small;context-sensitive matrix Future;Program Fiji;hacking;Connecticut Upgradable Architect;Bedfordshire;Fish
6;Pizza Ouguiya Cambridgeshire;Chips neutral backing up;New York;Health discrete;orchestration Internal;Investment Account;grey Intelligent Small Granite Soap;Generic Frozen Pants synergize;Gambia Flat;orchid Central;Coordinator;B2C;Lodge Steel Integration;Devolved;Falkland Islands (Malvinas) Personal Loan Account;Liechtenstein;Riel copy Vermont;streamline deposit Pants;bypass eco-centric firewall
7;Forge Auto Loan Account knowledge user;black;metrics seamless Steel;Cheese Tasty Steel Cheese;scale integrate Senior;salmon;Investor Games;Buckinghamshire TCP SAS;Borders auxiliary;Music;content Awesome Metal Mouse;withdrawal programming auxiliary;real-time Isle;Future;Supervisor invoice;application scale;monitor;salmon Metrics;input Arkansas parsing
8;bus Belarus Gorgeous;Glens;synthesize Fantastic;Shirt Brazilian Real;Public-key;Spring Electronics Handcrafted Cotton Car;capacity Buckinghamshire;Venezuela Sleek Steel Bacon;interfaces;Front-line alliance;Drive firewall Savings Account;Universal bypassing;compress Money Market Account RAM;Incredible Fresh Pizza Bike;Mississippi Sports Credit Card Account;Pants deposit infomediaries;International Home Loan Account;6th generation synthesizing Investment Account;Nepalese Rupee innovative
9;matrix;reintermediate Arkansas enhance;cross-media Dynamic;hacking Gorgeous;Communications optical Antigua and Barbuda;lime Soft;De-engineered Digitized lime;success;Lithuanian Litas Investment Account;Industrial Comoro Franc vortals;Licensed Enhanced eyeballs;deposit Sleek Steel Pants connecting;Group Cheese Wooden;SAS mint green;Object-based COM array;Shoes sensor program;dynamic SDD;Industrial Ball;Borders Consultant Assurance
10;payment Garden Movies;Maryland virtual Functionality;Research;sky blue Handcrafted Rubber Bike Intelligent Steel Keyboard;next generation Ergonomic generate;Legacy Human IB;Music;Chips reboot;programming Sleek Soft Chicken GB;content-based invoice;invoice Investor Frozen;Tactics black functionalities;Union array;magnetic Designer;Harbors;Data auxiliary;Facilitator mission-critical Soft;Gorgeous Centralized client-server;Books Isle of Man
