id;status;description;status_en;status_cyr;description_en;description_cyr
1;Avon;Generic;distributed;Saudi Arabia Incredible Steel Shoes Guyana Dollar;generate bandwidth withdrawal;Monaco Kids
2;Marketing pricing structure deposit;Nuevo Sol architectures visionary;Money Market Account Centralized pricing structure;Granite benchmark streamline;overriding;parsing
3;back-end;Grocery;optical Virginia transmitting;Cheese;white navigating invoice;service-desk protocol
4;magnetic;Costa Rica Spring;Uganda Shilling hard drive;next generation;discrete Sports;methodology Alaska
5;deposit neural;help-desk;extensible capacitor;online;Mouse Handcrafted Delaware;Minnesota Northern Mariana Islands
6;matrix;user-facing Cross-platform;matrix Home Loan Account;invoice Credit Card Account indexing;Avon Berkshire utilize;reboot well-modulated
7;navigate;parsing 24/7;Rustic;Ergonomic web services;transmit;Buckinghamshire
8;green Integration Shoes;e-enable Down-sized;quantify Nuevo Sol Profit-focused;Sleek;Internal Salad Yen;invoice Texas
9;Analyst;Radial;Practical Plastic Bike Creative Ergonomic Fresh Soap;encompassing transparent;capability Congolese Franc granular;deposit
10;Personal Loan Account matrix Communications;Haiti Small Wooden Keyboard Ethiopian Birr;Ergonomic function end-to-end;ADP;Brand brand;Credit Card Account Colombian Peso Unidad de Valor Real
