id;name_sr;name_en;department_name;ri_logo;ri_website;description_sr;description_en;technical_specification_sr;technical_specification_en;technical_specification_link_sr;technical_specification_link_en;user_manual_link_sr;user_manual_link_en;keywords;name_sr_cyr;description_sr_cyr;technical_specification_sr_cyr;technical_specification_link_sr_cyr;user_manual_link_sr_cyr
1;hack Macedonia;Assistant Operations 1080p;Soap Buckinghamshire;Tuna;deliverables;THX;Keyboard;Adaptive Flat;Communications embrace;District Azerbaijanian Manat;hack Future radical;bypass Associate withdrawal;Creek Metrics;Checking Account program;Steel Mall withdrawal;Concrete Regional Tuna;Car magnetic Falkland Islands Pound;Soft Yuan Renminbi;North Carolina context-sensitive
2;HTTP Infrastructure;bluetooth Glen foreground;Wooden mission-critical toolset;Sleek Fresh Gloves South Carolina;Fish deliver;RSS program;Ohio Arizona;Auto Loan Account SMS driver;Auto Loan Account port;Chief;Director e-commerce Central;withdrawal payment;monitor neural;Granite disintermediate;SMS;Chief;Ways Mozambique Automated;Pre-emptive tertiary zero defect;Future infrastructure Australia
3;Toys olive;vortals;engage Port Investment Account;Ports redundant;olive JSON Implementation;Ergonomic Concrete Hat;bottom-line;Concrete Borders client-driven;cyan Unbranded;wireless transparent Security;optimizing Clothing;Buckinghamshire knowledge base Refined;yellow applications Berkshire;New Hampshire;Optimization Fundamental;cross-platform;Steel Avon function;interface Industrial experiences;Virtual Savings Account
4;iterate Rubber Loaf;Mill;Advanced New Mexico;infrastructures;Manager Chicken;Automotive challenge Car;quantify channels;Kids partnerships Flat;payment;indexing Soft;GB Fresh;eyeballs Handcrafted;indexing Hong Kong Dollar;Oregon;Kiribati Direct;Licensed Metal Car Wisconsin deliverables;back-end;Developer copying;hub
5;primary;monitor Rustic Plastic Car;Gloves Dalasi withdrawal;Concrete Fully-configurable Poland;homogeneous Beauty ability;Burg;withdrawal redundant Investment Account;ADP digital;Credit Card Account;generating;Brazilian Real salmon Cheese;bandwidth Representative index;Product Granite;Montenegro Wooden Antigua and Barbuda;copy;Soap Guinea-Bissau;International Investor Managed;Liaison;Handmade Concrete Ball Illinois Ball
6;Mill Shoes;Dynamic magnetic;calculating B2C;blue;efficient Texas;implementation teal;Credit Card Account Bahraini Dinar Profit-focused;Personal Loan Account;Central;Usability Orchestrator;Mouse Dominican Peso;Music;Frozen Rupiah;indexing District;Indiana 1080p;plug-and-play Clothing;Buckinghamshire portals human-resource;systems;mission-critical
7;Paradigm;Wooden;Junctions;index;Towels encompassing;Program Direct robust;homogeneous platforms;Armenia indigo;Investment Account;national Robust;reinvent Kenyan Shilling end-to-end;Investor indexing optical;Practical Concrete Pants open-source;Fish GB;Inlet multi-byte Iowa;Alaska hack deposit;Licensed Cotton Computer;feed withdrawal bluetooth;Buckinghamshire
8;Cloned;Gateway;plum engage Yemeni Rial;Swiss Franc;Danish Krone;silver;Alaska Chips;green human-resource Czech Koruna;Shore Cotton;white connecting;Metical Triple-buffered Indonesia;Innovative Consultant Senior;Malawi online Applications;leverage;online multi-byte;Profit-focused;Guadeloupe Hat;hybrid Multi-layered South Dakota;back up
9;Borders Rustic;standardization;copying platforms;Producer violet Outdoors;Open-source District Bedfordshire;hacking;Cape Verde Escudo;infrastructures open-source incentivize;framework moratorium;contextually-based virtual;bleeding-edge Home Loan Account Electronics;parsing Berkshire syndicate;Concrete;architecture parsing Outdoors;Chair Directives Cotton;Cambridgeshire Concrete;project Savings Account;TCP;Home Loan Account Avon
10;Configuration Gorgeous Handcrafted Wooden Table;embrace Avon program;Gloves Concrete;copy New Mexico;Technician;Bacon;Metal compress;synergize;Ridge web-enabled Incredible Rubber Fish;India Virginia;Chicken;indigo Concrete;Incredible Steel Computer Consultant;Metal Hong Kong Dollar;scalable;Sleek Granite Cheese;bluetooth;cross-platform Investor Bedfordshire;invoice Hat withdrawal
